PlotCode,AGB,Lat,Long,Area,Altitude,Midpoint,Continent,VPD,VPDmax,Srad,Srad.cv,MTWM,Alt.WC,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Min.temp,Max.temp,WarmMin,CloudSD,Cloud,Warm.rate,Warm.rate2,mcwd,ndry1,ndry2,wind,wind.max,CEC,Sand,Clay,pH,Rock.depth,Rhoriz.prob
DUK-71,271.7912736,-2.98,-59.96,0.4,58,2008.1495,SA,0.593501908,0.778288887,14556.33333,0.140865331,27.43499962,65,26.59749976,8.82499965,84.04763098,50.23239501,32.5937396,21.63500038,10.49999809,26.15166648,26.83499987,27.30166609,26.11833302,2297,304,64,47.57684241,888,241,382,863,22.64374107,31.00999959,22.83499924,11.78,77.94,0.019731241,0.01981646,-59,4,3,1.158333351,1.299999952,2.00372972,47.08333333,36.08333333,42.08333333,12.96,16
DUK-72,274.693253,-2.98,-59.95,0.4,84,2008.17875,SA,0.583082567,0.766979831,14579.33333,0.142298572,27.32499924,89,26.51666679,8.76666673,84.2948755,48.79613293,32.48432076,21.62500038,10.39999962,26.07499987,26.74166686,27.20833371,26.04166673,2297,304,64,47.64800975,887,241,381,863,22.59265419,30.90000016,22.72500076,11.8,77.63,0.019731241,0.01981646,-59,4,3,1.166666687,1.299999952,2.025952857,46.08333333,36.83333333,41.83333333,14.55,13
DUK-73,305.328305,-2.98,-59.94,0.4,101,2004.657,SA,0.585503323,0.766979831,14591.83333,0.14083845,27.40999924,123,26.52249998,8.775000095,84.37500401,50.36797475,32.39953176,21.61,10.39999962,26.06000013,26.77666667,27.22666679,26.02666667,2296,303,65,47.40597016,886,241,382,862,22.52453208,30.91000003,22.81000076,12.1,78,0.019731241,0.01981646,-59,4,3,1.166666687,1.299999952,1.992430165,44.75,36.83333333,41.83333333,14.58,13
DUK-74,326.6499363,-2.98,-59.93,0.4,92,2008.19875,SA,0.584754925,0.766979831,14624.75,0.141328494,27.30499924,93,26.46333349,8.76666673,85.11327553,49.30579225,32.36471671,21.60500038,10.29999924,25.98833359,26.70500013,27.15500025,25.97166686,2297,303,65,47.21367652,885,244,382,861,22.53971722,30.84666686,22.70500076,12.1,77.7,0.019731241,0.01981646,-56,4,3,1.166666687,1.299999952,2.014903021,43.08333333,37.33333333,41.83333333,13.15,14
DUK-75,216.5174727,-2.97,-59.92,0.4,100,2005.37,SA,0.577768064,0.755779887,14625.25,0.140106857,27.27500076,115,26.46249997,8.758333524,84.21474851,48.48265687,32.3786609,21.575,10.39999962,26.02500013,26.67500006,27.15833333,25.99166667,2299,304,66,47.17333617,885,245,384,860,22.48699449,30.84166673,22.67500038,11.9,78.16,0.019731241,0.01981646,-55,4,3,1.166666687,1.299999952,1.981001469,45.33333333,35.58333333,41.16666667,19.41,15
DUK-76,261.035093,-2.97,-59.91,0.4,100,2005.37875,SA,0.576112709,0.755779887,14616.83333,0.140816853,27.28000076,116,26.46333329,8.750000159,84.95146415,47.68901313,32.28383391,21.58,10.29999924,26.03000013,26.68000006,27.1466666,25.99666667,2304,304,66,47.00743925,885,247,386,860,22.49216788,30.83833337,22.68000038,11.35,78.02,0.019731241,0.01981646,-53,4,3,1.166666687,1.299999952,2.025952857,44.58333333,35.58333333,41.16666667,25.64,16
DUK-77,319.2851146,-2.97,-59.9,0.4,95,2005.30175,SA,0.579534725,0.776979821,14603.08333,0.140889928,27.41999924,119,26.50749997,8.758333524,84.21474851,48.48265687,32.42230843,21.62,10.39999962,26.07000013,26.72000006,27.20333333,26.03666667,2305,303,67,46.78872519,883,248,385,859,22.53064201,30.88666673,22.72000038,11.01,78.46,0.019731241,0.01981646,-52,4,3,1.166666687,1.299999952,1.969440646,44.66666667,36.5,42.08333333,23.5,15
DUK-85,413.2740483,-2.98,-59.92,0.4,102,2005.11575,SA,0.581204316,0.776979821,14600.91667,0.140644335,27.31999924,106,26.41583333,8.758333524,84.21474851,49.61022579,32.31862256,21.52,10.39999962,25.97000013,26.63666679,27.12000006,25.93666667,2300,303,65,47.3249879,886,243,383,863,22.43528952,30.7950001,22.72000076,12.54,77.17,0.019731241,0.01981646,-57,4,3,1.166666687,1.299999952,1.981001469,44.16666667,36.75,41.16666667,18.25,14
DUK-86,245.2908565,-2.98,-59.91,0.4,97,2005.11475,SA,0.584754925,0.766979831,14613.66667,0.141513808,27.16499924,70,26.34833351,8.766666571,84.29487397,49.00526728,32.26360313,21.46500038,10.39999962,25.89833346,26.56500013,27.04833371,25.86500032,2298,303,65,47.28362421,884,244,383,861,22.36360335,30.73166679,22.56500076,12.04,77.82,0.019731241,0.01981646,-56,4,3,1.166666687,1.299999952,2.036881927,44.91666667,36.25,42.08333333,24.62,16
DUK-88,226.1577351,-2.98,-59.89,0.4,95,2005.2915,SA,0.587254923,0.766979831,14619.41667,0.141555951,27.28499924,92,26.43083344,8.775000095,84.37500401,50.20225209,32.28710531,21.485,10.39999962,25.96833359,26.6683334,27.13500025,25.93500013,2301,304,66,47.07627097,884,246,385,860,22.44543909,30.81833349,22.68500076,11.65,77.67,0.019731241,0.01981646,-54,4,3,1.166666687,1.299999952,2.014903021,42.16666667,38.08333333,42.08333333,24.89,14
DUK-93,303.1119136,-3,-59.94,0.4,87,2004.876,SA,0.601741358,0.788288878,14577.66667,0.140518541,27.34499962,76,26.4824999,8.774999936,85.19418045,50.00567915,32.33887195,21.64500076,10.29999924,26.01166629,26.74499987,27.17833327,25.97833314,2293,304,65,47.65888827,888,241,382,865,22.48887189,30.86999987,22.74499924,11.92,77.74,0.019731241,0.01981646,-59,4,3,1.166666687,1.299999952,2.100060829,43.25,38.91666667,42.16666667,13.82,13
DUK-97,250.6934362,-2.99,-59.9,0.4,96,2006.0445,SA,0.59423272,0.778288887,14581.83333,0.142306063,27.30499962,77,26.41333329,8.783333302,84.455131,50.03786055,32.32202748,21.50500038,10.39999962,25.95499987,26.655,27.12166654,25.92166673,2302,303,66,47.07863012,884,246,385,861,22.43869412,30.80499994,22.70499924,11.56,77.95,0.019731241,0.01981646,-54,4,3,1.166666687,1.299999952,2.130213867,44.08333333,37.33333333,42.08333333,21.19,17
DUK-98,243.567808,-2.99,-59.89,0.4,97,2006.0625,SA,0.595168573,0.778288887,14589.91667,0.141087682,27.29499962,76,26.44083311,8.808333079,84.69551348,50.02082446,32.31238418,21.49500038,10.39999962,25.97833302,26.67833314,27.14499968,25.94499955,2300,303,67,46.83445067,883,248,385,860,22.45405075,30.84499965,22.69499924,12.54,77.35,0.019731241,0.01981646,-52,4,3,1.166666687,1.299999952,1.969440646,43.66666667,37.25,42.16666667,24.21,12
IPM-21,201.2017752,-4.62,-61.24,0.475,NA,2013.08625,SA,0.598416899,0.725779677,14135.75,0.137893973,27.39999962,50,26.9000001,9.266666412,90.84966391,32.96001984,32.60962088,22,10.20000076,26.6833334,27.04999987,27.35000006,26.56666692,2459,308,87,40.7166359,878,296,484,869,22.676287,31.5333333,22.70000076,10.38,74.62,0.015313853,0.014584365,-19,3,2,1.016666671,1.100000024,2.206441232,37.08333333,29.58333333,40.75,17.09,2
IPM-55,255.185383,-4.6,-61.26,0.475,51,2013.072,SA,0.596686052,0.725779677,14172.75,0.139636457,27.39499962,50,26.8950001,9.266666412,90.84966391,32.96001984,32.60441305,21.995,10.20000076,26.6783334,27.04499987,27.34500006,26.56166692,2456,306,86,40.8434893,878,293,483,867,22.67107918,31.5283333,22.69500076,10.16,74.5,0.015313853,0.014584365,-21,3,2,1.016666671,1.100000024,2.242481169,36.75,28.58333333,40.83333333,19.64,2
IPM-26,305.3724292,-4.98,-61.57,0.475,61,2013.495,SA,0.596687636,0.725779677,14099.66667,0.137734534,27.38499962,58,26.89749998,9.374999841,91.01940582,31.55982314,32.6477518,21.88499962,10.30000114,26.71833327,27.03499987,27.31833333,26.58500006,2448,310,81,42.64775237,888,280,483,884,22.6727511,31.5849999,22.68500076,10.23,73.51,0.017066498,0.016239728,-32,3,2,0.966666659,1.100000024,2.215573716,40.08333333,28,39.83333333,23.59,2
IPM-27,323.3173004,-4.99,-61.56,0.475,50,2013.6135,SA,0.596687636,0.725779677,14113,0.139193035,27.44499962,59,26.95749998,9.374999841,91.01940582,31.55982314,32.70967621,21.94499962,10.30000114,26.77833327,27.09499987,27.37833333,26.64500006,2449,310,81,42.70562826,889,280,482,885,22.73467551,31.6449999,22.74500076,10.72,73.74,0.017066498,0.016239728,-32,3,2,0.966666659,1.100000024,2.100060829,41.08333333,28.41666667,39.16666667,24.86,1
